"model","mode","threshold","top_n","flag","scenario","precision","recall","f1","accuracy","codes_emitted","tp","fp","fn","sim_pairs_kept","icd9_with_any_sim"
"ClinicalBERT","relative",0.999,25,3,"top co-occurrence or in both lists",0.692,0.307,0.425,0.27,416,288,128,649,390,354
"ClinicalBERT","relative",0.999,25,4,"any of the three",0.635,0.356,0.456,0.296,526,334,192,603,390,354
"ClinicalBERT","relative",0.999,30,1,"top cosine or top co-occurrence",0.635,0.355,0.455,0.295,524,333,191,604,390,354
"ClinicalBERT","relative",0.999,30,2,"top cosine or in both lists",0.715,0.215,0.331,0.198,281,201,80,736,390,354
"ClinicalBERT","relative",0.999,30,3,"top co-occurrence or in both lists",0.692,0.309,0.427,0.272,419,290,129,647,390,354
"ClinicalBERT","relative",0.999,30,4,"any of the three",0.635,0.356,0.456,0.296,526,334,192,603,390,354
"SapBERT","absolute",0.5,3,1,"top cosine or top co-occurrence",0.737,0.418,0.533,0.364,532,392,140,545,9046,354
"SapBERT","absolute",0.5,3,2,"top cosine or in both lists",0.773,0.414,0.539,0.369,502,388,114,549,9046,354
"SapBERT","absolute",0.5,3,3,"top co-occurrence or in both lists",0.639,0.275,0.385,0.238,404,258,146,679,9046,354
"SapBERT","absolute",0.5,3,4,"any of the three",0.7,0.443,0.543,0.372,593,415,178,522,9046,354
"SapBERT","absolute",0.5,5,1,"top cosine or top co-occurrence",0.734,0.427,0.54,0.37,545,400,145,537,9046,354
"SapBERT","absolute",0.5,5,2,"top cosine or in both lists",0.688,0.435,0.533,0.364,593,408,185,529,9046,354
"SapBERT","absolute",0.5,5,3,"top co-occurrence or in both lists",0.571,0.317,0.408,0.256,520,297,223,640,9046,354
"SapBERT","absolute",0.5,5,4,"any of the three",0.634,0.466,0.537,0.368,689,437,252,500,9046,354
"SapBERT","absolute",0.5,10,1,"top cosine or top co-occurrence",0.73,0.427,0.539,0.369,548,400,148,537,9046,354
"SapBERT","absolute",0.5,10,2,"top cosine or in both lists",0.604,0.463,0.524,0.355,718,434,284,503,9046,354
"SapBERT","absolute",0.5,10,3,"top co-occurrence or in both lists",0.518,0.377,0.436,0.279,681,353,328,584,9046,354
"SapBERT","absolute",0.5,10,4,"any of the three",0.567,0.494,0.528,0.359,816,463,353,474,9046,354
"SapBERT","absolute",0.5,15,1,"top cosine or top co-occurrence",0.73,0.428,0.54,0.37,549,401,148,536,9046,354
"SapBERT","absolute",0.5,15,2,"top cosine or in both lists",0.556,0.482,0.516,0.348,813,452,361,485,9046,354
"SapBERT","absolute",0.5,15,3,"top co-occurrence or in both lists",0.488,0.412,0.447,0.288,791,386,405,551,9046,354
"SapBERT","absolute",0.5,15,4,"any of the three",0.528,0.513,0.52,0.352,911,481,430,456,9046,354
"SapBERT","absolute",0.5,20,1,"top cosine or top co-occurrence",0.731,0.431,0.542,0.372,553,404,149,533,9046,354
"SapBERT","absolute",0.5,20,2,"top cosine or in both lists",0.524,0.496,0.51,0.342,887,465,422,472,9046,354
"SapBERT","absolute",0.5,20,3,"top co-occurrence or in both lists",0.465,0.433,0.448,0.289,874,406,468,531,9046,354
"SapBERT","absolute",0.5,20,4,"any of the three",0.501,0.527,0.514,0.346,986,494,492,443,9046,354
"SapBERT","absolute",0.5,25,1,"top cosine or top co-occurrence",0.731,0.432,0.543,0.373,554,405,149,532,9046,354
"SapBERT","absolute",0.5,25,2,"top cosine or in both lists",0.5,0.506,0.503,0.336,948,474,474,463,9046,354
"SapBERT","absolute",0.5,25,3,"top co-occurrence or in both lists",0.446,0.448,0.447,0.288,941,420,521,517,9046,354
"SapBERT","absolute",0.5,25,4,"any of the three",0.481,0.538,0.508,0.34,1048,504,544,433,9046,354
"SapBERT","absolute",0.5,30,1,"top cosine or top co-occurrence",0.731,0.432,0.543,0.373,554,405,149,532,9046,354
"SapBERT","absolute",0.5,30,2,"top cosine or in both lists",0.472,0.511,0.491,0.325,1015,479,536,458,9046,354
"SapBERT","absolute",0.5,30,3,"top co-occurrence or in both lists",0.425,0.46,0.442,0.284,1014,431,583,506,9046,354
"SapBERT","absolute",0.5,30,4,"any of the three",0.457,0.543,0.496,0.33,1115,509,606,428,9046,354
"SapBERT","absolute",0.6,3,1,"top cosine or top co-occurrence",0.742,0.414,0.531,0.362,523,388,135,549,2204,348
"SapBERT","absolute",0.6,3,2,"top cosine or in both lists",0.833,0.378,0.52,0.351,425,354,71,583,2204,348
"SapBERT","absolute",0.6,3,3,"top co-occurrence or in both lists",0.663,0.263,0.377,0.232,371,246,125,691,2204,348
"SapBERT","absolute",0.6,3,4,"any of the three",0.724,0.426,0.536,0.366,551,399,152,538,2204,348
"SapBERT","absolute",0.6,5,1,"top cosine or top co-occurrence",0.739,0.423,0.538,0.368,536,396,140,541,2204,348
"SapBERT","absolute",0.6,5,2,"top cosine or in both lists",0.784,0.391,0.522,0.353,467,366,101,571,2204,348
"SapBERT","absolute",0.6,5,3,"top co-occurrence or in both lists",0.633,0.298,0.405,0.254,441,279,162,658,2204,348
"SapBERT","absolute",0.6,5,4,"any of the three",0.691,0.444,0.541,0.37,602,416,186,521,2204,348
"SapBERT","absolute",0.6,10,1,"top cosine or top co-occurrence",0.735,0.423,0.537,0.367,539,396,143,541,2204,348
"SapBERT","absolute",0.6,10,2,"top cosine or in both lists",0.735,0.411,0.527,0.358,524,385,139,552,2204,348
"SapBERT","absolute",0.6,10,3,"top co-occurrence or in both lists",0.614,0.348,0.444,0.285,531,326,205,611,2204,348
"SapBERT","absolute",0.6,10,4,"any of the three",0.658,0.464,0.544,0.374,661,435,226,502,2204,348
"SapBERT","absolute",0.6,15,1,"top cosine or top co-occurrence",0.735,0.424,0.538,0.368,540,397,143,540,2204,348
"SapBERT","absolute",0.6,15,2,"top cosine or in both lists",0.696,0.42,0.524,0.355,566,394,172,543,2204,348
"SapBERT","absolute",0.6,15,3,"top co-occurrence or in both lists",0.595,0.374,0.459,0.298,588,350,238,587,2204,348
"SapBERT","absolute",0.6,15,4,"any of the three",0.632,0.474,0.542,0.371,703,444,259,493,2204,348
"SapBERT","absolute",0.6,20,1,"top cosine or top co-occurrence",0.735,0.427,0.54,0.37,544,400,144,537,2204,348
"SapBERT","absolute",0.6,20,2,"top cosine or in both lists",0.676,0.43,0.526,0.357,596,403,193,534,2204,348
"SapBERT","absolute",0.6,20,3,"top co-occurrence or in both lists",0.584,0.391,0.468,0.306,627,366,261,571,2204,348
"SapBERT","absolute",0.6,20,4,"any of the three",0.617,0.483,0.542,0.372,734,453,281,484,2204,348
"SapBERT","absolute",0.6,25,1,"top cosine or top co-occurrence",0.736,0.428,0.541,0.371,545,401,144,536,2204,348
"SapBERT","absolute",0.6,25,2,"top cosine or in both lists",0.651,0.432,0.519,0.351,622,405,217,532,2204,348
"SapBERT","absolute",0.6,25,3,"top co-occurrence or in both lists",0.566,0.398,0.467,0.305,659,373,286,564,2204,348
"SapBERT","absolute",0.6,25,4,"any of the three",0.599,0.487,0.537,0.367,761,456,305,481,2204,348
"SapBERT","absolute",0.6,30,1,"top cosine or top co-occurrence",0.736,0.428,0.541,0.371,545,401,144,536,2204,348
"SapBERT","absolute",0.6,30,2,"top cosine or in both lists",0.633,0.436,0.516,0.348,646,409,237,528,2204,348
"SapBERT","absolute",0.6,30,3,"top co-occurrence or in both lists",0.556,0.409,0.471,0.308,689,383,306,554,2204,348
"SapBERT","absolute",0.6,30,4,"any of the three",0.586,0.491,0.534,0.365,785,460,325,477,2204,348
"SapBERT","absolute",0.7,3,1,"top cosine or top co-occurrence",0.753,0.404,0.526,0.357,503,379,124,558,752,329
"SapBERT","absolute",0.7,3,2,"top cosine or in both lists",0.916,0.35,0.506,0.339,358,328,30,609,752,329
"SapBERT","absolute",0.7,3,3,"top co-occurrence or in both lists",0.685,0.257,0.374,0.23,352,241,111,696,752,329
"SapBERT","absolute",0.7,3,4,"any of the three",0.752,0.411,0.532,0.362,512,385,127,552,752,329
"SapBERT","absolute",0.7,5,1,"top cosine or top co-occurrence",0.749,0.413,0.532,0.363,517,387,130,550,752,329
"SapBERT","absolute",0.7,5,2,"top cosine or in both lists",0.891,0.356,0.509,0.342,375,334,41,603,752,329
"SapBERT","absolute",0.7,5,3,"top co-occurrence or in both lists",0.676,0.287,0.403,0.252,398,269,129,668,752,329
"SapBERT","absolute",0.7,5,4,"any of the three",0.734,0.424,0.538,0.367,541,397,144,540,752,329
"SapBERT","absolute",0.7,10,1,"top cosine or top co-occurrence",0.744,0.413,0.531,0.362,520,387,133,550,752,329
"SapBERT","absolute",0.7,10,2,"top cosine or in both lists",0.866,0.366,0.515,0.346,396,343,53,594,752,329
"SapBERT","absolute",0.7,10,3,"top co-occurrence or in both lists",0.674,0.324,0.438,0.28,451,304,147,633,752,329
"SapBERT","absolute",0.7,10,4,"any of the three",0.719,0.433,0.54,0.37,565,406,159,531,752,329
"SapBERT","absolute",0.7,15,1,"top cosine or top co-occurrence",0.745,0.414,0.532,0.363,521,388,133,549,752,329
"SapBERT","absolute",0.7,15,2,"top cosine or in both lists",0.848,0.368,0.513,0.345,407,345,62,592,752,329
"SapBERT","absolute",0.7,15,3,"top co-occurrence or in both lists",0.673,0.343,0.454,0.294,477,321,156,616,752,329
"SapBERT","absolute",0.7,15,4,"any of the three",0.708,0.435,0.539,0.369,576,408,168,529,752,329
"SapBERT","absolute",0.7,20,1,"top cosine or top co-occurrence",0.745,0.417,0.535,0.365,525,391,134,546,752,329
"SapBERT","absolute",0.7,20,2,"top cosine or in both lists",0.834,0.375,0.517,0.349,421,351,70,586,752,329
"SapBERT","absolute",0.7,20,3,"top co-occurrence or in both lists",0.668,0.356,0.464,0.303,500,334,166,603,752,329
"SapBERT","absolute",0.7,20,4,"any of the three",0.701,0.442,0.542,0.372,591,414,177,523,752,329
"SapBERT","absolute",0.7,25,1,"top cosine or top co-occurrence",0.745,0.418,0.536,0.366,526,392,134,545,752,329
"SapBERT","absolute",0.7,25,2,"top cosine or in both lists",0.818,0.375,0.514,0.346,429,351,78,586,752,329
"SapBERT","absolute",0.7,25,3,"top co-occurrence or in both lists",0.661,0.362,0.468,0.305,513,339,174,598,752,329
"SapBERT","absolute",0.7,25,4,"any of the three",0.692,0.443,0.54,0.37,600,415,185,522,752,329
"SapBERT","absolute",0.7,30,1,"top cosine or top co-occurrence",0.745,0.418,0.536,0.366,526,392,134,545,752,329
"SapBERT","absolute",0.7,30,2,"top cosine or in both lists",0.809,0.376,0.513,0.345,435,352,83,585,752,329
"SapBERT","absolute",0.7,30,3,"top co-occurrence or in both lists",0.658,0.368,0.472,0.309,524,345,179,592,752,329
"SapBERT","absolute",0.7,30,4,"any of the three",0.686,0.444,0.539,0.369,606,416,190,521,752,329
"SapBERT","absolute",0.75,3,1,"top cosine or top co-occurrence",0.758,0.395,0.519,0.351,488,370,118,567,485,302
"SapBERT","absolute",0.75,3,2,"top cosine or in both lists",0.943,0.317,0.474,0.311,315,297,18,640,485,302
"SapBERT","absolute",0.75,3,3,"top co-occurrence or in both lists",0.684,0.252,0.368,0.226,345,236,109,701,485,302
"SapBERT","absolute",0.75,3,4,"any of the three",0.758,0.397,0.521,0.352,491,372,119,565,485,302
"SapBERT","absolute",0.75,5,1,"top cosine or top co-occurrence",0.753,0.403,0.525,0.356,502,378,124,559,485,302
"SapBERT","absolute",0.75,5,2,"top cosine or in both lists",0.923,0.32,0.475,0.312,325,300,25,637,485,302
"SapBERT","absolute",0.75,5,3,"top co-occurrence or in both lists",0.681,0.28,0.397,0.247,385,262,123,675,485,302
"SapBERT","absolute",0.75,5,4,"any of the three",0.743,0.408,0.527,0.357,514,382,132,555,485,302
"SapBERT","absolute",0.75,10,1,"top cosine or top co-occurrence",0.749,0.404,0.525,0.356,506,379,127,558,485,302
"SapBERT","absolute",0.75,10,2,"top cosine or in both lists",0.911,0.327,0.481,0.316,336,306,30,631,485,302
"SapBERT","absolute",0.75,10,3,"top co-occurrence or in both lists",0.689,0.314,0.431,0.275,427,294,133,643,485,302
"SapBERT","absolute",0.75,10,4,"any of the three",0.735,0.415,0.53,0.361,529,389,140,548,485,302
"SapBERT","absolute",0.75,15,1,"top cosine or top co-occurrence",0.75,0.406,0.527,0.357,507,380,127,557,485,302
"SapBERT","absolute",0.75,15,2,"top cosine or in both lists",0.898,0.328,0.48,0.316,342,307,35,630,485,302
"SapBERT","absolute",0.75,15,3,"top co-occurrence or in both lists",0.691,0.33,0.447,0.287,447,309,138,628,485,302
"SapBERT","absolute",0.75,15,4,"any of the three",0.729,0.417,0.531,0.361,536,391,145,546,485,302
"SapBERT","absolute",0.75,20,1,"top cosine or top co-occurrence",0.75,0.409,0.529,0.36,511,383,128,554,485,302
"SapBERT","absolute",0.75,20,2,"top cosine or in both lists",0.886,0.332,0.483,0.318,351,311,40,626,485,302
"SapBERT","absolute",0.75,20,3,"top co-occurrence or in both lists",0.689,0.343,0.458,0.297,466,321,145,616,485,302
"SapBERT","absolute",0.75,20,4,"any of the three",0.724,0.423,0.534,0.364,547,396,151,541,485,302
"SapBERT","absolute",0.75,25,1,"top cosine or top co-occurrence",0.75,0.41,0.53,0.361,512,384,128,553,485,302
"SapBERT","absolute",0.75,25,2,"top cosine or in both lists",0.874,0.332,0.481,0.317,356,311,45,626,485,302
"SapBERT","absolute",0.75,25,3,"top co-occurrence or in both lists",0.685,0.348,0.462,0.3,476,326,150,611,485,302
"SapBERT","absolute",0.75,25,4,"any of the three",0.718,0.424,0.533,0.363,553,397,156,540,485,302
"SapBERT","absolute",0.75,30,1,"top cosine or top co-occurrence",0.75,0.41,0.53,0.361,512,384,128,553,485,302
"SapBERT","absolute",0.75,30,2,"top cosine or in both lists",0.866,0.332,0.48,0.316,359,311,48,626,485,302
"SapBERT","absolute",0.75,30,3,"top co-occurrence or in both lists",0.683,0.352,0.465,0.303,483,330,153,607,485,302
"SapBERT","absolute",0.75,30,4,"any of the three",0.714,0.424,0.532,0.362,556,397,159,540,485,302
"SapBERT","absolute",0.8,3,1,"top cosine or top co-occurrence",0.759,0.374,0.501,0.334,461,350,111,587,324,255
"SapBERT","absolute",0.8,3,2,"top cosine or in both lists",0.969,0.27,0.422,0.268,261,253,8,684,324,255
"SapBERT","absolute",0.8,3,3,"top co-occurrence or in both lists",0.684,0.25,0.366,0.224,342,234,108,703,324,255
"SapBERT","absolute",0.8,3,4,"any of the three",0.759,0.376,0.503,0.336,464,352,112,585,324,255
"SapBERT","absolute",0.8,5,1,"top cosine or top co-occurrence",0.754,0.382,0.507,0.34,475,358,117,579,324,255
"SapBERT","absolute",0.8,5,2,"top cosine or in both lists",0.969,0.271,0.424,0.269,262,254,8,683,324,255
"SapBERT","absolute",0.8,5,3,"top co-occurrence or in both lists",0.693,0.274,0.393,0.245,371,257,114,680,324,255
"SapBERT","absolute",0.8,5,4,"any of the three",0.754,0.385,0.51,0.342,479,361,118,576,324,255
"SapBERT","absolute",0.8,10,1,"top cosine or top co-occurrence",0.75,0.384,0.508,0.341,480,360,120,577,324,255
"SapBERT","absolute",0.8,10,2,"top cosine or in both lists",0.966,0.274,0.427,0.272,266,257,9,680,324,255
"SapBERT","absolute",0.8,10,3,"top co-occurrence or in both lists",0.706,0.303,0.424,0.269,402,284,118,653,324,255
"SapBERT","absolute",0.8,10,4,"any of the three",0.75,0.391,0.514,0.346,488,366,122,571,324,255
"SapBERT","absolute",0.8,15,1,"top cosine or top co-occurrence",0.751,0.385,0.509,0.342,481,361,120,576,324,255
"SapBERT","absolute",0.8,15,2,"top cosine or in both lists",0.955,0.274,0.426,0.271,269,257,12,680,324,255
"SapBERT","absolute",0.8,15,3,"top co-occurrence or in both lists",0.711,0.317,0.438,0.281,418,297,121,640,324,255
"SapBERT","absolute",0.8,15,4,"any of the three",0.746,0.392,0.514,0.346,492,367,125,570,324,255
"SapBERT","absolute",0.8,20,1,"top cosine or top co-occurrence",0.751,0.388,0.512,0.344,485,364,121,573,324,255
"SapBERT","absolute",0.8,20,2,"top cosine or in both lists",0.949,0.275,0.426,0.271,272,258,14,679,324,255
"SapBERT","absolute",0.8,20,3,"top co-occurrence or in both lists",0.711,0.326,0.447,0.287,429,305,124,632,324,255
"SapBERT","absolute",0.8,20,4,"any of the three",0.743,0.395,0.516,0.347,498,370,128,567,324,255
"SapBERT","absolute",0.8,25,1,"top cosine or top co-occurrence",0.751,0.39,0.513,0.345,486,365,121,572,324,255
"SapBERT","absolute",0.8,25,2,"top cosine or in both lists",0.942,0.275,0.426,0.271,274,258,16,679,324,255
"SapBERT","absolute",0.8,25,3,"top co-occurrence or in both lists",0.711,0.331,0.452,0.292,436,310,126,627,324,255
"SapBERT","absolute",0.8,25,4,"any of the three",0.741,0.396,0.516,0.348,501,371,130,566,324,255
"SapBERT","absolute",0.8,30,1,"top cosine or top co-occurrence",0.751,0.39,0.513,0.345,486,365,121,572,324,255
"SapBERT","absolute",0.8,30,2,"top cosine or in both lists",0.938,0.275,0.425,0.27,275,258,17,679,324,255
"SapBERT","absolute",0.8,30,3,"top co-occurrence or in both lists",0.711,0.334,0.454,0.294,440,313,127,624,324,255
"SapBERT","absolute",0.8,30,4,"any of the three",0.739,0.396,0.516,0.347,502,371,131,566,324,255
"SapBERT","absolute",0.85,3,1,"top cosine or top co-occurrence",0.751,0.344,0.472,0.308,429,322,107,615,232,210
"SapBERT","absolute",0.85,3,2,"top cosine or in both lists",0.99,0.22,0.36,0.219,208,206,2,731,232,210
"SapBERT","absolute",0.85,3,3,"top co-occurrence or in both lists",0.682,0.242,0.357,0.218,333,227,106,710,232,210
"SapBERT","absolute",0.85,3,4,"any of the three",0.751,0.345,0.473,0.309,430,323,107,614,232,210
"SapBERT","absolute",0.85,5,1,"top cosine or top co-occurrence",0.745,0.352,0.478,0.314,443,330,113,607,232,210
"SapBERT","absolute",0.85,5,2,"top cosine or in both lists",0.99,0.22,0.36,0.219,208,206,2,731,232,210
"SapBERT","absolute",0.85,5,3,"top co-occurrence or in both lists",0.688,0.264,0.382,0.235,359,247,112,690,232,210
"SapBERT","absolute",0.85,5,4,"any of the three",0.745,0.353,0.479,0.315,444,331,113,606,232,210
"SapBERT","absolute",0.85,10,1,"top cosine or top co-occurrence",0.741,0.354,0.479,0.315,448,332,116,605,232,210
"SapBERT","absolute",0.85,10,2,"top cosine or in both lists",0.99,0.222,0.363,0.222,210,208,2,729,232,210
"SapBERT","absolute",0.85,10,3,"top co-occurrence or in both lists",0.701,0.288,0.408,0.257,385,270,115,667,232,210
"SapBERT","absolute",0.85,10,4,"any of the three",0.743,0.358,0.483,0.318,451,335,116,602,232,210
"SapBERT","absolute",0.85,15,1,"top cosine or top co-occurrence",0.742,0.355,0.48,0.316,449,333,116,604,232,210
"SapBERT","absolute",0.85,15,2,"top cosine or in both lists",0.986,0.222,0.362,0.221,211,208,3,729,232,210
"SapBERT","absolute",0.85,15,3,"top co-occurrence or in both lists",0.708,0.3,0.421,0.267,397,281,116,656,232,210
"SapBERT","absolute",0.85,15,4,"any of the three",0.742,0.359,0.484,0.319,453,336,117,601,232,210
"SapBERT","absolute",0.85,20,1,"top cosine or top co-occurrence",0.742,0.359,0.484,0.319,453,336,117,601,232,210
"SapBERT","absolute",0.85,20,2,"top cosine or in both lists",0.986,0.223,0.364,0.222,212,209,3,728,232,210
"SapBERT","absolute",0.85,20,3,"top co-occurrence or in both lists",0.711,0.307,0.429,0.273,405,288,117,649,232,210
"SapBERT","absolute",0.85,20,4,"any of the three",0.742,0.362,0.487,0.321,457,339,118,598,232,210
"SapBERT","absolute",0.85,25,1,"top cosine or top co-occurrence",0.742,0.36,0.485,0.32,454,337,117,600,232,210
"SapBERT","absolute",0.85,25,2,"top cosine or in both lists",0.981,0.223,0.363,0.222,213,209,4,728,232,210
"SapBERT","absolute",0.85,25,3,"top co-occurrence or in both lists",0.711,0.311,0.433,0.276,409,291,118,646,232,210
"SapBERT","absolute",0.85,25,4,"any of the three",0.741,0.363,0.487,0.322,459,340,119,597,232,210
"SapBERT","absolute",0.85,30,1,"top cosine or top co-occurrence",0.742,0.36,0.485,0.32,454,337,117,600,232,210
"SapBERT","absolute",0.85,30,2,"top cosine or in both lists",0.977,0.223,0.363,0.222,214,209,5,728,232,210
"SapBERT","absolute",0.85,30,3,"top co-occurrence or in both lists",0.712,0.314,0.436,0.278,413,294,119,643,232,210
"SapBERT","absolute",0.85,30,4,"any of the three",0.739,0.363,0.487,0.322,460,340,120,597,232,210
"SapBERT","absolute",0.9,3,1,"top cosine or top co-occurrence",0.734,0.316,0.442,0.284,403,296,107,641,182,174
"SapBERT","absolute",0.9,3,2,"top cosine or in both lists",0.994,0.181,0.306,0.181,171,170,1,767,182,174
"SapBERT","absolute",0.9,3,3,"top co-occurrence or in both lists",0.678,0.238,0.352,0.214,329,223,106,714,182,174
"SapBERT","absolute",0.9,3,4,"any of the three",0.734,0.316,0.442,0.284,403,296,107,641,182,174
"SapBERT","absolute",0.9,5,1,"top cosine or top co-occurrence",0.729,0.324,0.449,0.29,417,304,113,633,182,174
"SapBERT","absolute",0.9,5,2,"top cosine or in both lists",0.994,0.181,0.306,0.181,171,170,1,767,182,174
"SapBERT","absolute",0.9,5,3,"top co-occurrence or in both lists",0.682,0.256,0.372,0.229,352,240,112,697,182,174
"SapBERT","absolute",0.9,5,4,"any of the three",0.729,0.324,0.449,0.29,417,304,113,633,182,174
"SapBERT","absolute",0.9,10,1,"top cosine or top co-occurrence",0.725,0.327,0.451,0.291,422,306,116,631,182,174
"SapBERT","absolute",0.9,10,2,"top cosine or in both lists",0.994,0.182,0.308,0.182,172,171,1,766,182,174
"SapBERT","absolute",0.9,10,3,"top co-occurrence or in both lists",0.691,0.274,0.392,0.244,372,257,115,680,182,174
"SapBERT","absolute",0.9,10,4,"any of the three",0.726,0.328,0.452,0.292,423,307,116,630,182,174
"SapBERT","absolute",0.9,15,1,"top cosine or top co-occurrence",0.726,0.328,0.452,0.292,423,307,116,630,182,174
"SapBERT","absolute",0.9,15,2,"top cosine or in both lists",0.994,0.182,0.308,0.182,172,171,1,766,182,174
"SapBERT","absolute",0.9,15,3,"top co-occurrence or in both lists",0.698,0.284,0.404,0.253,381,266,115,671,182,174
"SapBERT","absolute",0.9,15,4,"any of the three",0.726,0.329,0.453,0.292,424,308,116,629,182,174
"SapBERT","absolute",0.9,20,1,"top cosine or top co-occurrence",0.726,0.331,0.455,0.294,427,310,117,627,182,174
"SapBERT","absolute",0.9,20,2,"top cosine or in both lists",0.994,0.182,0.308,0.182,172,171,1,766,182,174
"SapBERT","absolute",0.9,20,3,"top co-occurrence or in both lists",0.701,0.29,0.41,0.258,388,272,116,665,182,174
"SapBERT","absolute",0.9,20,4,"any of the three",0.727,0.332,0.456,0.295,428,311,117,626,182,174
"SapBERT","absolute",0.9,25,1,"top cosine or top co-occurrence",0.727,0.332,0.456,0.295,428,311,117,626,182,174
"SapBERT","absolute",0.9,25,2,"top cosine or in both lists",0.994,0.182,0.308,0.182,172,171,1,766,182,174
"SapBERT","absolute",0.9,25,3,"top co-occurrence or in both lists",0.703,0.293,0.414,0.261,391,275,116,662,182,174
"SapBERT","absolute",0.9,25,4,"any of the three",0.727,0.333,0.457,0.296,429,312,117,625,182,174
"SapBERT","absolute",0.9,30,1,"top cosine or top co-occurrence",0.727,0.332,0.456,0.295,428,311,117,626,182,174
"SapBERT","absolute",0.9,30,2,"top cosine or in both lists",0.988,0.182,0.307,0.182,173,171,2,766,182,174
"SapBERT","absolute",0.9,30,3,"top co-occurrence or in both lists",0.703,0.296,0.417,0.263,394,277,117,660,182,174
"SapBERT","absolute",0.9,30,4,"any of the three",0.726,0.333,0.457,0.296,430,312,118,625,182,174
"SapBERT","absolute",0.92,3,1,"top cosine or top co-occurrence",0.727,0.304,0.429,0.273,392,285,107,652,166,159
"SapBERT","absolute",0.92,3,2,"top cosine or in both lists",0.994,0.165,0.283,0.165,156,155,1,782,166,159
"SapBERT","absolute",0.92,3,3,"top co-occurrence or in both lists",0.678,0.238,0.352,0.214,329,223,106,714,166,159
"SapBERT","absolute",0.92,3,4,"any of the three",0.727,0.304,0.429,0.273,392,285,107,652,166,159
"SapBERT","absolute",0.92,5,1,"top cosine or top co-occurrence",0.722,0.314,0.438,0.28,407,294,113,643,166,159
"SapBERT","absolute",0.92,5,2,"top cosine or in both lists",0.994,0.165,0.283,0.165,156,155,1,782,166,159
"SapBERT","absolute",0.92,5,3,"top co-occurrence or in both lists",0.681,0.255,0.371,0.228,351,239,112,698,166,159
"SapBERT","absolute",0.92,5,4,"any of the three",0.722,0.314,0.438,0.28,407,294,113,643,166,159
"SapBERT","absolute",0.92,10,1,"top cosine or top co-occurrence",0.718,0.316,0.439,0.281,412,296,116,641,166,159
"SapBERT","absolute",0.92,10,2,"top cosine or in both lists",0.994,0.166,0.284,0.166,157,156,1,781,166,159
"SapBERT","absolute",0.92,10,3,"top co-occurrence or in both lists",0.688,0.27,0.388,0.24,368,253,115,684,166,159
"SapBERT","absolute",0.92,10,4,"any of the three",0.719,0.317,0.44,0.282,413,297,116,640,166,159
"SapBERT","absolute",0.92,15,1,"top cosine or top co-occurrence",0.719,0.317,0.44,0.282,413,297,116,640,166,159
"SapBERT","absolute",0.92,15,2,"top cosine or in both lists",0.994,0.166,0.284,0.166,157,156,1,781,166,159
"SapBERT","absolute",0.92,15,3,"top co-occurrence or in both lists",0.693,0.277,0.396,0.247,375,260,115,677,166,159
"SapBERT","absolute",0.92,15,4,"any of the three",0.72,0.318,0.441,0.283,414,298,116,639,166,159
"SapBERT","absolute",0.92,20,1,"top cosine or top co-occurrence",0.719,0.32,0.443,0.285,417,300,117,637,166,159
"SapBERT","absolute",0.92,20,2,"top cosine or in both lists",0.994,0.166,0.284,0.166,157,156,1,781,166,159
"SapBERT","absolute",0.92,20,3,"top co-occurrence or in both lists",0.696,0.284,0.403,0.253,382,266,116,671,166,159
"SapBERT","absolute",0.92,20,4,"any of the three",0.72,0.321,0.444,0.286,418,301,117,636,166,159
"SapBERT","absolute",0.92,25,1,"top cosine or top co-occurrence",0.72,0.321,0.444,0.286,418,301,117,636,166,159
"SapBERT","absolute",0.92,25,2,"top cosine or in both lists",0.994,0.166,0.284,0.166,157,156,1,781,166,159
"SapBERT","absolute",0.92,25,3,"top co-occurrence or in both lists",0.699,0.287,0.407,0.255,385,269,116,668,166,159
"SapBERT","absolute",0.92,25,4,"any of the three",0.721,0.322,0.445,0.287,419,302,117,635,166,159
"SapBERT","absolute",0.92,30,1,"top cosine or top co-occurrence",0.72,0.321,0.444,0.286,418,301,117,636,166,159
"SapBERT","absolute",0.92,30,2,"top cosine or in both lists",0.987,0.166,0.284,0.166,158,156,2,781,166,159
"SapBERT","absolute",0.92,30,3,"top co-occurrence or in both lists",0.698,0.289,0.409,0.257,388,271,117,666,166,159
"SapBERT","absolute",0.92,30,4,"any of the three",0.719,0.322,0.445,0.286,420,302,118,635,166,159
"SapBERT","absolute",0.95,3,1,"top cosine or top co-occurrence",0.718,0.291,0.414,0.261,380,273,107,664,137,137
"SapBERT","absolute",0.95,3,2,"top cosine or in both lists",0.993,0.142,0.248,0.142,134,133,1,804,137,137
"SapBERT","absolute",0.95,3,3,"top co-occurrence or in both lists",0.678,0.238,0.352,0.214,329,223,106,714,137,137
"SapBERT","absolute",0.95,3,4,"any of the three",0.718,0.291,0.414,0.261,380,273,107,664,137,137
"SapBERT","absolute",0.95,5,1,"top cosine or top co-occurrence",0.714,0.301,0.423,0.269,395,282,113,655,137,137
"SapBERT","absolute",0.95,5,2,"top cosine or in both lists",0.993,0.142,0.248,0.142,134,133,1,804,137,137
"SapBERT","absolute",0.95,5,3,"top co-occurrence or in both lists",0.681,0.255,0.371,0.228,351,239,112,698,137,137
