"model","mode","threshold","top_n","flag","scenario","precision","recall","f1","accuracy","codes_emitted","tp","fp","fn","sim_pairs_kept","icd9_with_any_sim"
"ClinicalBERT","absolute",0.7,3,3,"top co-occurrence or in both lists",0.503,0.284,0.363,0.222,529,266,263,671,711292,354
"ClinicalBERT","absolute",0.7,3,4,"any of the three",0.487,0.396,0.437,0.279,762,371,391,566,711292,354
"ClinicalBERT","absolute",0.7,5,1,"top cosine or top co-occurrence",0.586,0.364,0.449,0.289,582,341,241,596,711292,354
"ClinicalBERT","absolute",0.7,5,2,"top cosine or in both lists",0.401,0.434,0.417,0.263,1016,407,609,530,711292,354
"ClinicalBERT","absolute",0.7,5,3,"top co-occurrence or in both lists",0.394,0.335,0.362,0.221,797,314,483,623,711292,354
"ClinicalBERT","absolute",0.7,5,4,"any of the three",0.4,0.434,0.416,0.263,1017,407,610,530,711292,354
"ClinicalBERT","absolute",0.7,10,1,"top cosine or top co-occurrence",0.584,0.365,0.449,0.29,586,342,244,595,711292,354
"ClinicalBERT","absolute",0.7,10,2,"top cosine or in both lists",0.308,0.489,0.378,0.233,1485,458,1027,479,711292,354
"ClinicalBERT","absolute",0.7,10,3,"top co-occurrence or in both lists",0.298,0.411,0.345,0.209,1290,385,905,552,711292,354
"ClinicalBERT","absolute",0.7,10,4,"any of the three",0.308,0.489,0.378,0.233,1486,458,1028,479,711292,354
"ClinicalBERT","absolute",0.7,15,1,"top cosine or top co-occurrence",0.584,0.365,0.449,0.29,586,342,244,595,711292,354
"ClinicalBERT","absolute",0.7,15,2,"top cosine or in both lists",0.266,0.524,0.353,0.214,1846,491,1355,446,711292,354
"ClinicalBERT","absolute",0.7,15,3,"top co-occurrence or in both lists",0.258,0.458,0.33,0.197,1666,429,1237,508,711292,354
"ClinicalBERT","absolute",0.7,15,4,"any of the three",0.266,0.524,0.353,0.214,1847,491,1356,446,711292,354
"ClinicalBERT","absolute",0.7,20,1,"top cosine or top co-occurrence",0.584,0.367,0.451,0.291,589,344,245,593,711292,354
"ClinicalBERT","absolute",0.7,20,2,"top cosine or in both lists",0.241,0.545,0.334,0.201,2122,511,1611,426,711292,354
"ClinicalBERT","absolute",0.7,20,3,"top co-occurrence or in both lists",0.233,0.485,0.315,0.187,1949,454,1495,483,711292,354
"ClinicalBERT","absolute",0.7,20,4,"any of the three",0.241,0.545,0.334,0.2,2123,511,1612,426,711292,354
"ClinicalBERT","absolute",0.7,25,1,"top cosine or top co-occurrence",0.585,0.368,0.452,0.292,590,345,245,592,711292,354
"ClinicalBERT","absolute",0.7,25,2,"top cosine or in both lists",0.224,0.572,0.322,0.192,2390,536,1854,401,711292,354
"ClinicalBERT","absolute",0.7,25,3,"top co-occurrence or in both lists",0.216,0.513,0.304,0.18,2223,481,1742,456,711292,354
"ClinicalBERT","absolute",0.7,25,4,"any of the three",0.224,0.572,0.322,0.192,2391,536,1855,401,711292,354
"ClinicalBERT","absolute",0.7,30,1,"top cosine or top co-occurrence",0.585,0.368,0.452,0.292,590,345,245,592,711292,354
"ClinicalBERT","absolute",0.7,30,2,"top cosine or in both lists",0.208,0.589,0.307,0.182,2654,552,2102,385,711292,354
"ClinicalBERT","absolute",0.7,30,3,"top co-occurrence or in both lists",0.2,0.533,0.291,0.17,2492,499,1993,438,711292,354
"ClinicalBERT","absolute",0.7,30,4,"any of the three",0.208,0.589,0.307,0.182,2655,552,2103,385,711292,354
"ClinicalBERT","absolute",0.75,3,1,"top cosine or top co-occurrence",0.585,0.354,0.441,0.283,568,332,236,605,673685,354
"ClinicalBERT","absolute",0.75,3,2,"top cosine or in both lists",0.49,0.394,0.437,0.279,753,369,384,568,673685,354
"ClinicalBERT","absolute",0.75,3,3,"top co-occurrence or in both lists",0.507,0.283,0.363,0.222,523,265,258,672,673685,354
"ClinicalBERT","absolute",0.75,3,4,"any of the three",0.489,0.395,0.437,0.28,756,370,386,567,673685,354
"ClinicalBERT","absolute",0.75,5,1,"top cosine or top co-occurrence",0.586,0.364,0.449,0.289,582,341,241,596,673685,354
"ClinicalBERT","absolute",0.75,5,2,"top cosine or in both lists",0.403,0.432,0.417,0.263,1006,405,601,532,673685,354
"ClinicalBERT","absolute",0.75,5,3,"top co-occurrence or in both lists",0.397,0.334,0.363,0.222,789,313,476,624,673685,354
"ClinicalBERT","absolute",0.75,5,4,"any of the three",0.402,0.433,0.417,0.264,1009,406,603,531,673685,354
"ClinicalBERT","absolute",0.75,10,1,"top cosine or top co-occurrence",0.584,0.365,0.449,0.29,586,342,244,595,673685,354
"ClinicalBERT","absolute",0.75,10,2,"top cosine or in both lists",0.311,0.487,0.38,0.234,1467,456,1011,481,673685,354
"ClinicalBERT","absolute",0.75,10,3,"top co-occurrence or in both lists",0.301,0.41,0.347,0.21,1274,384,890,553,673685,354
"ClinicalBERT","absolute",0.75,10,4,"any of the three",0.311,0.488,0.38,0.234,1470,457,1013,480,673685,354
"ClinicalBERT","absolute",0.75,15,1,"top cosine or top co-occurrence",0.584,0.365,0.449,0.29,586,342,244,595,673685,354
"ClinicalBERT","absolute",0.75,15,2,"top cosine or in both lists",0.269,0.522,0.355,0.216,1818,489,1329,448,673685,354
"ClinicalBERT","absolute",0.75,15,3,"top co-occurrence or in both lists",0.261,0.457,0.332,0.199,1640,428,1212,509,673685,354
"ClinicalBERT","absolute",0.75,15,4,"any of the three",0.269,0.523,0.355,0.216,1821,490,1331,447,673685,354
"ClinicalBERT","absolute",0.75,20,1,"top cosine or top co-occurrence",0.584,0.367,0.451,0.291,589,344,245,593,673685,354
"ClinicalBERT","absolute",0.75,20,2,"top cosine or in both lists",0.244,0.543,0.337,0.202,2088,509,1579,428,673685,354
"ClinicalBERT","absolute",0.75,20,3,"top co-occurrence or in both lists",0.236,0.483,0.317,0.189,1917,453,1464,484,673685,354
"ClinicalBERT","absolute",0.75,20,4,"any of the three",0.244,0.544,0.337,0.203,2091,510,1581,427,673685,354
"ClinicalBERT","absolute",0.75,25,1,"top cosine or top co-occurrence",0.585,0.368,0.452,0.292,590,345,245,592,673685,354
"ClinicalBERT","absolute",0.75,25,2,"top cosine or in both lists",0.227,0.57,0.325,0.194,2348,534,1814,403,673685,354
"ClinicalBERT","absolute",0.75,25,3,"top co-occurrence or in both lists",0.22,0.512,0.308,0.182,2183,480,1703,457,673685,354
"ClinicalBERT","absolute",0.75,25,4,"any of the three",0.228,0.571,0.326,0.194,2351,535,1816,402,673685,354
"ClinicalBERT","absolute",0.75,30,1,"top cosine or top co-occurrence",0.585,0.368,0.452,0.292,590,345,245,592,673685,354
"ClinicalBERT","absolute",0.75,30,2,"top cosine or in both lists",0.211,0.587,0.31,0.184,2607,550,2057,387,673685,354
"ClinicalBERT","absolute",0.75,30,3,"top co-occurrence or in both lists",0.204,0.531,0.295,0.173,2447,498,1949,439,673685,354
"ClinicalBERT","absolute",0.75,30,4,"any of the three",0.211,0.588,0.311,0.184,2610,551,2059,386,673685,354
"ClinicalBERT","absolute",0.8,3,1,"top cosine or top co-occurrence",0.585,0.354,0.441,0.283,568,332,236,605,551755,354
"ClinicalBERT","absolute",0.8,3,2,"top cosine or in both lists",0.501,0.391,0.439,0.281,731,366,365,571,551755,354
"ClinicalBERT","absolute",0.8,3,3,"top co-occurrence or in both lists",0.519,0.283,0.366,0.224,511,265,246,672,551755,354
"ClinicalBERT","absolute",0.8,3,4,"any of the three",0.497,0.395,0.44,0.282,744,370,374,567,551755,354
"ClinicalBERT","absolute",0.8,5,1,"top cosine or top co-occurrence",0.586,0.364,0.449,0.289,582,341,241,596,551755,354
