"track","track_label","icd9","group","partners","mean","sd","min","q1","median","q3","max","total","icd9_label","ccs_id","ccs_category"
"10_9","ICD-9-CM to ICD-10-CA","190","has a reference match",17,22.2352941176471,19.3956483900536,7,7,14,38,62,378,"malignant neoplasm of eye","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","191","has a reference match",316,100.221518987342,444.187378213333,7,12,21,61,7101,31670,"malignant neoplasm of brain","22","cancer of brain and nervous system"
"10_9","ICD-9-CM to ICD-10-CA","192","has a reference match",49,24.0204081632653,30.6638289873144,7,9,12,22,142,1177,"malignant neoplasm of other and unspecified parts of nervous system","22","cancer of brain and nervous system"
"10_9","ICD-9-CM to ICD-10-CA","193","has a reference match",128,59.0078125,176.752484801109,7,10.75,20,37.25,1782,7553,"malignant neoplasm of thyroid gland","23","thyroid cancer"
"10_9","ICD-9-CM to ICD-10-CA","194","has a reference match",94,29.7127659574468,51.9287399117902,7,9,11,21.75,333,2793,"malignant neoplasm of other endocrine glands and related structures","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","195","has a reference match",192,38.9427083333333,65.6111969195267,7,10.75,19,34.25,470,7477,"malignant neoplasm of other and illdefined sites","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","196","has a reference match",38,24.9736842105263,25.0194376782417,7,9,15,24.5,101,949,"secondary and unspecified malignant neoplasm of lymph nodes","24","secondary malignancy"
"10_9","ICD-9-CM to ICD-10-CA","197","has a reference match",302,121.639072847682,462.227107815128,7,13,25,73,6068,36735,"secondary malignant neoplasm of respiratory and digestive systems","24","secondary malignancy"
"10_9","ICD-9-CM to ICD-10-CA","198","has a reference match",290,108.762068965517,424.889403817833,7,14,27,65.5,5608,31541,"secondary malignant neoplasm of other specified sites","24","secondary malignancy"
"10_9","ICD-9-CM to ICD-10-CA","199","has a reference match",430,156.220930232558,625.468126805421,7,14,32,102.5,8750,67175,"malignant neoplasm without specification of site","25","malignant neoplasm without specification of site"
"10_9","ICD-9-CM to ICD-10-CA","200","has a reference match",176,51.8863636363636,142.134940456952,7,11,17.5,42,1634,9132,"lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue","26","nonhodgkins lymphoma"
"10_9","ICD-9-CM to ICD-10-CA","201","has a reference match",191,47.3193717277487,123.278792266801,7,10,18,37,1467,9038,"hodgkins disease","27","hodgkins disease"
"10_9","ICD-9-CM to ICD-10-CA","202","has a reference match",608,213.789473684211,787.81955369273,7,15,40,120.25,11252,129984,"other malignant neoplasms of lymphoid and histiocytic tissue","26","nonhodgkins lymphoma"
"10_9","ICD-9-CM to ICD-10-CA","203","has a reference match",416,163.033653846154,758.333918135547,7,14,27.5,81,13900,67822,"multiple myeloma and immunoproliferative neoplasms","28","multiple myeloma and leukemias"
