"track","model","sim_mode","sim_param","top_n","chapter_filter","pool_pairs","pool_per_code","recall_ceiling","oracle_f1"
"10_9","SapBERT","topk",1,50,TRUE,3574,10.1,0.651,0.7886
"10_9","SapBERT","topk",1,50,FALSE,16055,45.35,0.6777,0.8079
"10_9","SapBERT","topk",3,3,TRUE,1149,3.26,0.5315,0.6941
"10_9","SapBERT","topk",3,3,FALSE,1883,5.32,0.5432,0.704
"10_9","SapBERT","topk",3,5,TRUE,1371,3.89,0.556,0.7147
"10_9","SapBERT","topk",3,5,FALSE,2523,7.13,0.5688,0.7252
"10_9","SapBERT","topk",3,10,TRUE,1807,5.1,0.5902,0.7423
"10_9","SapBERT","topk",3,10,FALSE,4152,11.73,0.6073,0.7556
"10_9","SapBERT","topk",3,20,TRUE,2413,6.82,0.635,0.7768
"10_9","SapBERT","topk",3,20,FALSE,7405,20.92,0.6585,0.7941
"10_9","SapBERT","topk",3,30,TRUE,2931,8.28,0.6702,0.8026
"10_9","SapBERT","topk",3,30,FALSE,10590,29.92,0.6948,0.8199
"10_9","SapBERT","topk",3,50,TRUE,3877,10.95,0.7118,0.8317
"10_9","SapBERT","topk",3,50,FALSE,16542,46.73,0.7407,0.851
"10_9","SapBERT","topk",5,3,TRUE,1554,4.4,0.572,0.7278
"10_9","SapBERT","topk",5,3,FALSE,2569,7.26,0.5891,0.7414
"10_9","SapBERT","topk",5,5,TRUE,1764,5,0.5934,0.7448
"10_9","SapBERT","topk",5,5,FALSE,3193,9.02,0.6105,0.7581
"10_9","SapBERT","topk",5,10,TRUE,2181,6.16,0.6222,0.7671
"10_9","SapBERT","topk",5,10,FALSE,4798,13.55,0.6435,0.7831
"10_9","SapBERT","topk",5,20,TRUE,2755,7.78,0.6617,0.7964
"10_9","SapBERT","topk",5,20,FALSE,8010,22.63,0.6873,0.8147
"10_9","SapBERT","topk",5,30,TRUE,3257,9.2,0.6969,0.8214
"10_9","SapBERT","topk",5,30,FALSE,11171,31.56,0.7236,0.8396
"10_9","SapBERT","topk",5,50,TRUE,4172,11.79,0.7321,0.8453
"10_9","SapBERT","topk",5,50,FALSE,17084,48.26,0.7631,0.8656
"10_9","SapBERT","topk",10,3,TRUE,2385,6.76,0.6339,0.776
"10_9","SapBERT","topk",10,3,FALSE,4303,12.16,0.651,0.7886
"10_9","SapBERT","topk",10,5,TRUE,2580,7.31,0.6531,0.7902
"10_9","SapBERT","topk",10,5,FALSE,4904,13.85,0.6702,0.8026
"10_9","SapBERT","topk",10,10,TRUE,2971,8.39,0.6745,0.8056
"10_9","SapBERT","topk",10,10,FALSE,6474,18.29,0.6958,0.8206
"10_9","SapBERT","topk",10,20,TRUE,3508,9.91,0.7054,0.8273
"10_9","SapBERT","topk",10,20,FALSE,9629,27.2,0.7311,0.8446
"10_9","SapBERT","topk",10,30,TRUE,3976,11.23,0.7364,0.8482
"10_9","SapBERT","topk",10,30,FALSE,12740,35.99,0.7631,0.8656
"10_9","SapBERT","topk",10,50,TRUE,4842,13.68,0.7673,0.8684
"10_9","SapBERT","topk",10,50,FALSE,18580,52.49,0.7983,0.8878
"10_9","SapBERT","topk",20,3,TRUE,3704,10.49,0.6894,0.8162
"10_9","SapBERT","topk",20,3,FALSE,7795,22.02,0.7086,0.8295
"10_9","SapBERT","topk",20,5,TRUE,3880,10.99,0.7065,0.828
"10_9","SapBERT","topk",20,5,FALSE,8374,23.66,0.7257,0.8411
"10_9","SapBERT","topk",20,10,TRUE,4241,11.98,0.7236,0.8396
"10_9","SapBERT","topk",20,10,FALSE,9891,27.94,0.7471,0.8552
"10_9","SapBERT","topk",20,20,TRUE,4729,13.36,0.7524,0.8587
"10_9","SapBERT","topk",20,20,FALSE,12962,36.62,0.7791,0.8758
"10_9","SapBERT","topk",20,30,TRUE,5148,14.54,0.7769,0.8745
"10_9","SapBERT","topk",20,30,FALSE,15993,45.18,0.8047,0.8918
