"track","tau","n_emitted","codes_covered","code_coverage","precision","recall","f1"
"8_9",0.25,338,289,0.956953642384106,0.837278106508876,0.868098159509202,0.852409638554217
"8_9",0.26,338,289,0.956953642384106,0.837278106508876,0.868098159509202,0.852409638554217
"8_9",0.27,335,288,0.95364238410596,0.844776119402985,0.868098159509202,0.856278366111952
"8_9",0.28,335,288,0.95364238410596,0.844776119402985,0.868098159509202,0.856278366111952
"8_9",0.29,333,288,0.95364238410596,0.84984984984985,0.868098159509202,0.858877086494689
"8_9",0.3,327,287,0.950331125827815,0.862385321100917,0.865030674846626,0.863705972434916
"8_9",0.31,326,286,0.947019867549669,0.865030674846626,0.865030674846626,0.865030674846626
"8_9",0.32,325,286,0.947019867549669,0.867692307692308,0.865030674846626,0.866359447004608
"8_9",0.33,324,285,0.943708609271523,0.87037037037037,0.865030674846626,0.867692307692308
"8_9",0.34,323,284,0.940397350993378,0.873065015479876,0.865030674846626,0.869029275808937
"8_9",0.35,321,283,0.937086092715232,0.875389408099688,0.861963190184049,0.868624420401855
"8_9",0.36,321,283,0.937086092715232,0.875389408099688,0.861963190184049,0.868624420401855
"8_9",0.37,320,283,0.937086092715232,0.878125,0.861963190184049,0.869969040247678
"8_9",0.38,316,283,0.937086092715232,0.886075949367089,0.858895705521472,0.872274143302181
"8_9",0.39,316,283,0.937086092715232,0.886075949367089,0.858895705521472,0.872274143302181
"8_9",0.4,315,283,0.937086092715232,0.888888888888889,0.858895705521472,0.873634945397816
"8_9",0.41,314,282,0.933774834437086,0.888535031847134,0.855828220858896,0.871875
"8_9",0.42,312,282,0.933774834437086,0.894230769230769,0.855828220858896,0.874608150470219
"8_9",0.43,311,281,0.93046357615894,0.897106109324759,0.855828220858896,0.875981161695447
"8_9",0.44,310,281,0.93046357615894,0.896774193548387,0.852760736196319,0.874213836477987
"8_9",0.45,308,279,0.923841059602649,0.899350649350649,0.849693251533742,0.873817034700315
"8_9",0.46,306,279,0.923841059602649,0.905228758169935,0.849693251533742,0.876582278481013
"8_9",0.47,303,279,0.923841059602649,0.914191419141914,0.849693251533742,0.880763116057234
"8_9",0.48,302,279,0.923841059602649,0.917218543046358,0.849693251533742,0.882165605095541
"8_9",0.49,300,278,0.920529801324503,0.92,0.846625766871166,0.881789137380192
"8_9",0.5,299,277,0.917218543046358,0.919732441471572,0.843558282208589,0.88
"8_9",0.51,298,276,0.913907284768212,0.922818791946309,0.843558282208589,0.881410256410256
"8_9",0.52,297,275,0.910596026490066,0.922558922558923,0.840490797546012,0.879614767255217
"8_9",0.53,296,275,0.910596026490066,0.922297297297297,0.837423312883436,0.877813504823151
"8_9",0.54,295,275,0.910596026490066,0.922033898305085,0.834355828220859,0.876006441223832
"8_9",0.55,294,275,0.910596026490066,0.921768707482993,0.831288343558282,0.874193548387097
"8_9",0.56,293,274,0.907284768211921,0.921501706484642,0.828220858895706,0.872374798061389
"8_9",0.57,291,273,0.903973509933775,0.927835051546392,0.828220858895706,0.875202593192869
"8_9",0.58,290,273,0.903973509933775,0.927586206896552,0.825153374233129,0.873376623376623
"8_9",0.59,290,273,0.903973509933775,0.927586206896552,0.825153374233129,0.873376623376623
"8_9",0.6,288,273,0.903973509933775,0.934027777777778,0.825153374233129,0.876221498371335
"8_9",0.61,288,273,0.903973509933775,0.934027777777778,0.825153374233129,0.876221498371335
"8_9",0.62,288,273,0.903973509933775,0.934027777777778,0.825153374233129,0.876221498371335
"8_9",0.63,287,272,0.900662251655629,0.933797909407665,0.822085889570552,0.874388254486134
"8_9",0.64,285,271,0.897350993377483,0.936842105263158,0.819018404907976,0.873977086743044
"8_9",0.65,285,271,0.897350993377483,0.936842105263158,0.819018404907976,0.873977086743044
"8_9",0.66,283,270,0.894039735099338,0.936395759717314,0.812883435582822,0.870279146141215
