"icd9","top_target","top_frequency","track","track_label"
"311","F32",31953,"10_9","ICD-9-CM to ICD-10-CA"
"312","F91",603,"10_9","ICD-9-CM to ICD-10-CA"
"314","F90",2699,"10_9","ICD-9-CM to ICD-10-CA"
"315","E11",96,"10_9","ICD-9-CM to ICD-10-CA"
"317","F70",198,"10_9","ICD-9-CM to ICD-10-CA"
"318","F71",136,"10_9","ICD-9-CM to ICD-10-CA"
"319","F81",419,"10_9","ICD-9-CM to ICD-10-CA"
"327","G47",3108,"10_9","ICD-9-CM to ICD-10-CA"
"330","E75",147,"10_9","ICD-9-CM to ICD-10-CA"
"331","E11",3800,"10_9","ICD-9-CM to ICD-10-CA"
"332","G20",10620,"10_9","ICD-9-CM to ICD-10-CA"
"333","E11",1189,"10_9","ICD-9-CM to ICD-10-CA"
"334","E11",231,"10_9","ICD-9-CM to ICD-10-CA"
"335","G12",2090,"10_9","ICD-9-CM to ICD-10-CA"
"336","E11",737,"10_9","ICD-9-CM to ICD-10-CA"
"337","E11",258,"10_9","ICD-9-CM to ICD-10-CA"
"338","E11",13431,"10_9","ICD-9-CM to ICD-10-CA"
"339","E11",54,"10_9","ICD-9-CM to ICD-10-CA"
"340","G35",6559,"10_9","ICD-9-CM to ICD-10-CA"
"341","G37",267,"10_9","ICD-9-CM to ICD-10-CA"
"342","G81",338,"10_9","ICD-9-CM to ICD-10-CA"
"343","G80",710,"10_9","ICD-9-CM to ICD-10-CA"
"344","G82",1658,"10_9","ICD-9-CM to ICD-10-CA"
"345","G40",6724,"10_9","ICD-9-CM to ICD-10-CA"
"346","G43",2435,"10_9","ICD-9-CM to ICD-10-CA"
"347","G47",23,"10_9","ICD-9-CM to ICD-10-CA"
"348","E11",3377,"10_9","ICD-9-CM to ICD-10-CA"
"353","E11",364,"10_9","ICD-9-CM to ICD-10-CA"
"354","E11",629,"10_9","ICD-9-CM to ICD-10-CA"
"355","E11",1141,"10_9","ICD-9-CM to ICD-10-CA"
"356","E11",1492,"10_9","ICD-9-CM to ICD-10-CA"
"357","G61",2009,"10_9","ICD-9-CM to ICD-10-CA"
"358","G70",1616,"10_9","ICD-9-CM to ICD-10-CA"
"359","G71",954,"10_9","ICD-9-CM to ICD-10-CA"
"360","H44",446,"10_9","ICD-9-CM to ICD-10-CA"
"361","H33",3266,"10_9","ICD-9-CM to ICD-10-CA"
"362","E11",4495,"10_9","ICD-9-CM to ICD-10-CA"
"363","E11",69,"10_9","ICD-9-CM to ICD-10-CA"
"364","S05",339,"10_9","ICD-9-CM to ICD-10-CA"
"365","E11",2708,"10_9","ICD-9-CM to ICD-10-CA"
"366","E11",2592,"10_9","ICD-9-CM to ICD-10-CA"
"369","E11",383,"10_9","ICD-9-CM to ICD-10-CA"
"370","H16",2464,"10_9","ICD-9-CM to ICD-10-CA"
"371","H18",287,"10_9","ICD-9-CM to ICD-10-CA"
"372","E11",624,"10_9","ICD-9-CM to ICD-10-CA"
"376","H05",823,"10_9","ICD-9-CM to ICD-10-CA"
"377","H46",363,"10_9","ICD-9-CM to ICD-10-CA"
"379","E11",2317,"10_9","ICD-9-CM to ICD-10-CA"
"380","E11",1296,"10_9","ICD-9-CM to ICD-10-CA"
"381","E11",191,"10_9","ICD-9-CM to ICD-10-CA"
"382","H66",593,"10_9","ICD-9-CM to ICD-10-CA"
"383","H70",334,"10_9","ICD-9-CM to ICD-10-CA"
"384","H72",45,"10_9","ICD-9-CM to ICD-10-CA"
"386","H81",1497,"10_9","ICD-9-CM to ICD-10-CA"
"389","E11",470,"10_9","ICD-9-CM to ICD-10-CA"
"393","E11",12,"10_9","ICD-9-CM to ICD-10-CA"
"394","I50",1048,"10_9","ICD-9-CM to ICD-10-CA"
