"track","model","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy"
"8_9","ClinicalBERT",0.999,3,4,0.648,0.755,0.697,0.535
"8_9","ClinicalBERT",0.999,5,1,0.647,0.752,0.696,0.533
"8_9","ClinicalBERT",0.999,5,2,0.701,0.538,0.609,0.437
"8_9","ClinicalBERT",0.999,5,3,0.759,0.677,0.716,0.557
"8_9","ClinicalBERT",0.999,5,4,0.646,0.755,0.696,0.534
"8_9","ClinicalBERT",0.999,10,1,0.642,0.752,0.693,0.53
"8_9","ClinicalBERT",0.999,10,2,0.701,0.538,0.609,0.437
"8_9","ClinicalBERT",0.999,10,3,0.743,0.689,0.715,0.556
"8_9","ClinicalBERT",0.999,10,4,0.641,0.755,0.693,0.531
"8_9","ClinicalBERT",0.999,15,1,0.64,0.752,0.691,0.529
"8_9","ClinicalBERT",0.999,15,2,0.701,0.538,0.609,0.437
"8_9","ClinicalBERT",0.999,15,3,0.736,0.692,0.713,0.554
"8_9","ClinicalBERT",0.999,15,4,0.639,0.755,0.692,0.53
"8_9","ClinicalBERT",0.999,20,1,0.64,0.752,0.691,0.529
"8_9","ClinicalBERT",0.999,20,2,0.701,0.538,0.609,0.437
"8_9","ClinicalBERT",0.999,20,3,0.728,0.695,0.711,0.552
"8_9","ClinicalBERT",0.999,20,4,0.639,0.755,0.692,0.53
"8_9","ClinicalBERT",0.999,25,1,0.64,0.752,0.691,0.529
"8_9","ClinicalBERT",0.999,25,2,0.701,0.538,0.609,0.437
"8_9","ClinicalBERT",0.999,25,3,0.728,0.695,0.711,0.552
"8_9","ClinicalBERT",0.999,25,4,0.639,0.755,0.692,0.53
"8_9","ClinicalBERT",0.999,30,1,0.64,0.752,0.691,0.529
"8_9","ClinicalBERT",0.999,30,2,0.698,0.538,0.608,0.436
"8_9","ClinicalBERT",0.999,30,3,0.723,0.695,0.709,0.549
"8_9","ClinicalBERT",0.999,30,4,0.638,0.755,0.692,0.529
"8_9","SapBERT",0.95,3,1,0.727,0.837,0.778,0.637
"8_9","SapBERT",0.95,3,2,0.845,0.792,0.818,0.691
"8_9","SapBERT",0.95,3,3,0.781,0.701,0.739,0.586
"8_9","SapBERT",0.95,3,4,0.724,0.84,0.778,0.636
"8_9","SapBERT",0.95,5,1,0.725,0.837,0.777,0.635
"8_9","SapBERT",0.95,5,2,0.84,0.795,0.817,0.69
"8_9","SapBERT",0.95,5,3,0.77,0.719,0.744,0.592
"8_9","SapBERT",0.95,5,4,0.719,0.843,0.776,0.634
"8_9","SapBERT",0.95,10,1,0.719,0.837,0.774,0.631
"8_9","SapBERT",0.95,10,2,0.84,0.795,0.817,0.69
"8_9","SapBERT",0.95,10,3,0.761,0.731,0.746,0.595
"8_9","SapBERT",0.95,10,4,0.714,0.843,0.773,0.63
"8_9","SapBERT",0.95,15,1,0.718,0.837,0.773,0.63
"8_9","SapBERT",0.95,15,2,0.838,0.798,0.818,0.691
"8_9","SapBERT",0.95,15,3,0.756,0.74,0.748,0.598
"8_9","SapBERT",0.95,15,4,0.711,0.846,0.773,0.629
"8_9","SapBERT",0.95,20,1,0.718,0.837,0.773,0.63
"8_9","SapBERT",0.95,20,2,0.835,0.798,0.816,0.689
"8_9","SapBERT",0.95,20,3,0.75,0.743,0.746,0.596
"8_9","SapBERT",0.95,20,4,0.709,0.846,0.771,0.628
"8_9","SapBERT",0.95,25,1,0.718,0.837,0.773,0.63
"8_9","SapBERT",0.95,25,2,0.825,0.798,0.811,0.682
"8_9","SapBERT",0.95,25,3,0.734,0.743,0.738,0.586
"8_9","SapBERT",0.95,25,4,0.702,0.846,0.767,0.622
"8_9","SapBERT",0.95,30,1,0.718,0.837,0.773,0.63
"8_9","SapBERT",0.95,30,2,0.825,0.798,0.811,0.682
"8_9","SapBERT",0.95,30,3,0.734,0.743,0.738,0.586
"8_9","SapBERT",0.95,30,4,0.702,0.846,0.767,0.622
"8_9","SapBERT",0.99,3,1,0.73,0.834,0.779,0.637
"8_9","SapBERT",0.99,3,2,0.861,0.785,0.821,0.697
"8_9","SapBERT",0.99,3,3,0.786,0.701,0.741,0.589
"8_9","SapBERT",0.99,3,4,0.731,0.837,0.78,0.64
"8_9","SapBERT",0.99,5,1,0.728,0.834,0.777,0.636
"8_9","SapBERT",0.99,5,2,0.858,0.785,0.82,0.695
"8_9","SapBERT",0.99,5,3,0.777,0.716,0.745,0.594
"8_9","SapBERT",0.99,5,4,0.727,0.837,0.778,0.637
"8_9","SapBERT",0.99,10,1,0.723,0.834,0.775,0.632
"8_9","SapBERT",0.99,10,2,0.858,0.785,0.82,0.695
"8_9","SapBERT",0.99,10,3,0.768,0.728,0.747,0.597
"8_9","SapBERT",0.99,10,4,0.721,0.837,0.775,0.632
"8_9","SapBERT",0.99,15,1,0.721,0.834,0.773,0.63
"8_9","SapBERT",0.99,15,2,0.858,0.785,0.82,0.695
"8_9","SapBERT",0.99,15,3,0.764,0.734,0.749,0.599
"8_9","SapBERT",0.99,15,4,0.719,0.837,0.774,0.631
"8_9","SapBERT",0.99,20,1,0.721,0.834,0.773,0.63
"8_9","SapBERT",0.99,20,2,0.858,0.785,0.82,0.695
"8_9","SapBERT",0.99,20,3,0.76,0.737,0.748,0.598
"8_9","SapBERT",0.99,20,4,0.719,0.837,0.774,0.631
"8_9","SapBERT",0.99,25,1,0.721,0.834,0.773,0.63
"8_9","SapBERT",0.99,25,2,0.855,0.785,0.819,0.693
"8_9","SapBERT",0.99,25,3,0.751,0.737,0.744,0.592
"8_9","SapBERT",0.99,25,4,0.718,0.837,0.773,0.63
"8_9","SapBERT",0.99,30,1,0.721,0.834,0.773,0.63
"8_9","SapBERT",0.99,30,2,0.855,0.785,0.819,0.693
"8_9","SapBERT",0.99,30,3,0.751,0.737,0.744,0.592
"8_9","SapBERT",0.99,30,4,0.718,0.837,0.773,0.63
"8_9","SapBERT",0.995,3,1,0.73,0.834,0.779,0.637
"8_9","SapBERT",0.995,3,2,0.859,0.773,0.814,0.686
"8_9","SapBERT",0.995,3,3,0.786,0.698,0.739,0.586
"8_9","SapBERT",0.995,3,4,0.73,0.834,0.779,0.637
"8_9","SapBERT",0.995,5,1,0.728,0.834,0.777,0.636
"8_9","SapBERT",0.995,5,2,0.859,0.773,0.814,0.686
"8_9","SapBERT",0.995,5,3,0.779,0.713,0.745,0.593
"8_9","SapBERT",0.995,5,4,0.728,0.834,0.777,0.636
"8_9","SapBERT",0.995,10,1,0.723,0.834,0.775,0.632
"8_9","SapBERT",0.995,10,2,0.859,0.773,0.814,0.686
"8_9","SapBERT",0.995,10,3,0.769,0.725,0.746,0.596
"8_9","SapBERT",0.995,10,4,0.723,0.834,0.775,0.632
"8_9","SapBERT",0.995,15,1,0.721,0.834,0.773,0.63
"8_9","SapBERT",0.995,15,2,0.859,0.773,0.814,0.686
"8_9","SapBERT",0.995,15,3,0.766,0.731,0.748,0.598
"8_9","SapBERT",0.995,15,4,0.721,0.834,0.773,0.63
"8_9","SapBERT",0.995,20,1,0.721,0.834,0.773,0.63
"8_9","SapBERT",0.995,20,2,0.859,0.773,0.814,0.686
"8_9","SapBERT",0.995,20,3,0.762,0.734,0.748,0.597
"8_9","SapBERT",0.995,20,4,0.721,0.834,0.773,0.63
"8_9","SapBERT",0.995,25,1,0.721,0.834,0.773,0.63
"8_9","SapBERT",0.995,25,2,0.859,0.773,0.814,0.686
"8_9","SapBERT",0.995,25,3,0.755,0.734,0.744,0.593
"8_9","SapBERT",0.995,25,4,0.721,0.834,0.773,0.63
"8_9","SapBERT",0.995,30,1,0.721,0.834,0.773,0.63
"8_9","SapBERT",0.995,30,2,0.859,0.773,0.814,0.686
"8_9","SapBERT",0.995,30,3,0.755,0.734,0.744,0.593
"8_9","SapBERT",0.995,30,4,0.721,0.834,0.773,0.63
"8_9","SapBERT",0.999,3,1,0.732,0.834,0.78,0.639
"8_9","SapBERT",0.999,3,2,0.861,0.77,0.813,0.685
"8_9","SapBERT",0.999,3,3,0.786,0.698,0.739,0.586
"8_9","SapBERT",0.999,3,4,0.732,0.834,0.78,0.639
"8_9","SapBERT",0.999,5,1,0.73,0.834,0.779,0.637
"8_9","SapBERT",0.999,5,2,0.861,0.77,0.813,0.685
"8_9","SapBERT",0.999,5,3,0.779,0.713,0.745,0.593
"8_9","SapBERT",0.999,5,4,0.73,0.834,0.779,0.637
"8_9","SapBERT",0.999,10,1,0.724,0.834,0.775,0.633
"8_9","SapBERT",0.999,10,2,0.861,0.77,0.813,0.685
"8_9","SapBERT",0.999,10,3,0.769,0.725,0.746,0.596
"8_9","SapBERT",0.999,10,4,0.724,0.834,0.775,0.633
"8_9","SapBERT",0.999,15,1,0.723,0.834,0.775,0.632
"8_9","SapBERT",0.999,15,2,0.861,0.77,0.813,0.685
"8_9","SapBERT",0.999,15,3,0.766,0.731,0.748,0.598
"8_9","SapBERT",0.999,15,4,0.723,0.834,0.775,0.632
"8_9","SapBERT",0.999,20,1,0.723,0.834,0.775,0.632
"8_9","SapBERT",0.999,20,2,0.861,0.77,0.813,0.685
"8_9","SapBERT",0.999,20,3,0.762,0.734,0.748,0.597
"8_9","SapBERT",0.999,20,4,0.723,0.834,0.775,0.632
"8_9","SapBERT",0.999,25,1,0.723,0.834,0.775,0.632
"8_9","SapBERT",0.999,25,2,0.861,0.77,0.813,0.685
"8_9","SapBERT",0.999,25,3,0.755,0.734,0.744,0.593
"8_9","SapBERT",0.999,25,4,0.723,0.834,0.775,0.632
"8_9","SapBERT",0.999,30,1,0.723,0.834,0.775,0.632
"8_9","SapBERT",0.999,30,2,0.861,0.77,0.813,0.685
"8_9","SapBERT",0.999,30,3,0.755,0.734,0.744,0.593
"8_9","SapBERT",0.999,30,4,0.723,0.834,0.775,0.632
