"icd9","icd9_label","icd9_chapter","aligned_target_chapters","ccs_category","pipeline_output","target_label","target_chapter","similarity","cooccurrence","correct_target_should_be","present_in_code_list","notes"
"517","lung involvement in conditions classified elsewhere",8,"8","other lower respiratory disease","none",NA,NA,NA,NA,"","",""
"555","regional enteritis",9,"9","regional enteritis and ulcerative colitis","none",NA,NA,NA,NA,"","",""
"557","vascular insufficiency of intestine",9,"9","other circulatory disease","none",NA,NA,NA,NA,"","",""
"576","other disorders of biliary tract",9,"9","biliary tract disease","none",NA,NA,NA,NA,"","",""
"585","chronic kidney disease",10,"10","chronic kideny disease and related conditions","none",NA,NA,NA,NA,"","",""
"586","renal failure unspecified",10,"10","chronic kideny disease and related conditions","none",NA,NA,NA,NA,"","",""
"588","disorders resulting from impaired renal function",10,"10","other diseases of kidney and ureters","none",NA,NA,NA,NA,"","",""
"615","inflammatory diseases of uterus except cervix",10,"10","other female genital disorders","none",NA,NA,NA,NA,"","",""
"617","endometriosis",10,"10","other female genital disorders","none",NA,NA,NA,NA,"","",""
"619","fistula involving female genital tract",10,"10","other female genital disorders","none",NA,NA,NA,NA,"","",""
"625","pain and other symptoms associated with female genital organs",10,"10","other female genital disorders","none",NA,NA,NA,NA,"","",""
"712","crystal arthropathies",13,"13","gout and other crystal arthropathies","none",NA,NA,NA,NA,"","",""
"713","arthropathy associated with other disorders classified elsewhere",13,"13","joint disorders","none",NA,NA,NA,NA,"","",""
"720","ankylosing spondylitis and other inflammatory spondylopathies",13,"13","spondylosis intervertebral disc disorders other back problems","none",NA,NA,NA,NA,"","",""
"721","spondylosis and allied disorders",13,"13","spondylosis intervertebral disc disorders other back problems","none",NA,NA,NA,NA,"","",""
"745","bulbus cordis anomalies and anomalies of cardiac septal closure",14,"14","cardiac and circulatory congenital anomalies","none",NA,NA,NA,NA,"","",""
