"CCS_ID","TP","FP","FN","Precision","Recall","F1","Accuracy","track","model"
115,2,0,14,1,0.125,0.222,0.125,"10_9","ClinicalBERT"
116,1,1,2,0.5,0.333,0.4,0.25,"10_9","ClinicalBERT"
117,1,0,5,1,0.167,0.286,0.167,"10_9","ClinicalBERT"
118,3,6,15,0.333,0.167,0.222,0.125,"10_9","ClinicalBERT"
119,1,1,4,0.5,0.2,0.286,0.167,"10_9","ClinicalBERT"
120,1,1,5,0.5,0.167,0.25,0.143,"10_9","ClinicalBERT"
121,3,3,7,0.5,0.3,0.375,0.231,"10_9","ClinicalBERT"
122,1,1,4,0.5,0.2,0.286,0.167,"10_9","ClinicalBERT"
123,3,2,17,0.6,0.15,0.24,0.136,"10_9","ClinicalBERT"
124,1,0,0,1,1,1,1,"10_9","ClinicalBERT"
125,1,0,4,1,0.2,0.333,0.2,"10_9","ClinicalBERT"
126,3,1,7,0.75,0.3,0.429,0.273,"10_9","ClinicalBERT"
127,11,6,45,0.647,0.196,0.301,0.177,"10_9","ClinicalBERT"
128,2,3,9,0.4,0.182,0.25,0.143,"10_9","ClinicalBERT"
129,3,1,5,0.75,0.375,0.5,0.333,"10_9","ClinicalBERT"
130,4,0,9,1,0.308,0.471,0.308,"10_9","ClinicalBERT"
1,16,2,2,0.889,0.889,0.889,0.8,"10_9","SapBERT"
2,1,0,0,1,1,1,1,"10_9","SapBERT"
3,1,0,0,1,1,1,1,"10_9","SapBERT"
4,6,5,3,0.545,0.667,0.6,0.429,"10_9","SapBERT"
5,1,0,0,1,1,1,1,"10_9","SapBERT"
6,2,0,1,1,0.667,0.8,0.667,"10_9","SapBERT"
7,1,0,0,1,1,1,1,"10_9","SapBERT"
8,1,0,0,1,1,1,1,"10_9","SapBERT"
9,4,3,3,0.571,0.571,0.571,0.4,"10_9","SapBERT"
10,8,7,8,0.533,0.5,0.516,0.348,"10_9","SapBERT"
11,2,0,2,1,0.5,0.667,0.5,"10_9","SapBERT"
12,1,0,0,1,1,1,1,"10_9","SapBERT"
13,1,0,0,1,1,1,1,"10_9","SapBERT"
14,2,2,0,0.5,1,0.667,0.5,"10_9","SapBERT"
15,1,0,0,1,1,1,1,"10_9","SapBERT"
16,4,0,2,1,0.667,0.8,0.667,"10_9","SapBERT"
17,1,0,0,1,1,1,1,"10_9","SapBERT"
18,1,0,0,1,1,1,1,"10_9","SapBERT"
19,2,0,0,1,1,1,1,"10_9","SapBERT"
20,1,0,0,1,1,1,1,"10_9","SapBERT"
21,1,0,3,1,0.25,0.4,0.25,"10_9","SapBERT"
22,2,1,1,0.667,0.667,0.667,0.5,"10_9","SapBERT"
23,1,0,0,1,1,1,1,"10_9","SapBERT"
24,3,1,0,0.75,1,0.857,0.75,"10_9","SapBERT"
25,0,2,4,0,0,0,0,"10_9","SapBERT"
26,4,0,5,1,0.444,0.615,0.444,"10_9","SapBERT"
27,1,0,0,1,1,1,1,"10_9","SapBERT"
28,6,4,1,0.6,0.857,0.706,0.545,"10_9","SapBERT"
29,2,0,0,1,1,1,1,"10_9","SapBERT"
30,3,2,5,0.6,0.375,0.462,0.3,"10_9","SapBERT"
31,7,4,8,0.636,0.467,0.539,0.368,"10_9","SapBERT"
32,3,0,1,1,0.75,0.857,0.75,"10_9","SapBERT"
33,9,5,17,0.643,0.346,0.45,0.29,"10_9","SapBERT"
34,5,4,6,0.556,0.455,0.5,0.333,"10_9","SapBERT"
35,8,5,26,0.615,0.235,0.34,0.205,"10_9","SapBERT"
36,1,1,4,0.5,0.2,0.286,0.167,"10_9","SapBERT"
37,1,1,1,0.5,0.5,0.5,0.333,"10_9","SapBERT"
38,6,1,7,0.857,0.462,0.6,0.429,"10_9","SapBERT"
39,6,0,10,1,0.375,0.545,0.375,"10_9","SapBERT"
40,3,2,11,0.6,0.214,0.315,0.188,"10_9","SapBERT"
41,6,3,25,0.667,0.194,0.301,0.176,"10_9","SapBERT"
42,5,0,6,1,0.455,0.625,0.455,"10_9","SapBERT"
43,6,0,14,1,0.3,0.462,0.3,"10_9","SapBERT"
44,1,0,0,1,1,1,1,"10_9","SapBERT"
45,1,1,5,0.5,0.167,0.25,0.143,"10_9","SapBERT"
46,4,2,8,0.667,0.333,0.444,0.286,"10_9","SapBERT"
47,1,0,1,1,0.5,0.667,0.5,"10_9","SapBERT"
48,2,0,2,1,0.5,0.667,0.5,"10_9","SapBERT"
49,6,4,6,0.6,0.5,0.545,0.375,"10_9","SapBERT"
50,20,6,22,0.769,0.476,0.588,0.417,"10_9","SapBERT"
51,1,0,2,1,0.333,0.5,0.333,"10_9","SapBERT"
52,1,0,1,1,0.5,0.667,0.5,"10_9","SapBERT"
53,1,0,0,1,1,1,1,"10_9","SapBERT"
54,4,0,2,1,0.667,0.8,0.667,"10_9","SapBERT"
55,1,0,1,1,0.5,0.667,0.5,"10_9","SapBERT"
56,15,2,15,0.882,0.5,0.638,0.469,"10_9","SapBERT"
57,3,1,3,0.75,0.5,0.6,0.429,"10_9","SapBERT"
