"CCS_ID","TP","FP","FN","Precision","Recall","F1","Accuracy","track","model"
71,0,0,1,0,0,0,0,"8_9","ClinicalBERT"
72,2,0,0,1,1,1,1,"8_9","ClinicalBERT"
73,0,1,1,0,0,0,0,"8_9","ClinicalBERT"
74,4,1,4,0.8,0.5,0.615,0.444,"8_9","ClinicalBERT"
75,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
76,1,1,2,0.5,0.333,0.4,0.25,"8_9","ClinicalBERT"
77,7,1,0,0.875,1,0.933,0.875,"8_9","ClinicalBERT"
78,1,0,1,1,0.5,0.667,0.5,"8_9","ClinicalBERT"
79,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
80,3,0,0,1,1,1,1,"8_9","ClinicalBERT"
81,2,4,2,0.333,0.5,0.4,0.25,"8_9","ClinicalBERT"
82,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
83,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
84,3,1,0,0.75,1,0.857,0.75,"8_9","ClinicalBERT"
85,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
86,2,1,7,0.667,0.222,0.333,0.2,"8_9","ClinicalBERT"
87,2,1,0,0.667,1,0.8,0.667,"8_9","ClinicalBERT"
88,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
89,1,1,1,0.5,0.5,0.5,0.333,"8_9","ClinicalBERT"
90,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
91,4,1,0,0.8,1,0.889,0.8,"8_9","ClinicalBERT"
92,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
93,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
94,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
95,0,0,1,0,0,0,0,"8_9","ClinicalBERT"
96,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
97,1,0,1,1,0.5,0.667,0.5,"8_9","ClinicalBERT"
98,2,2,1,0.5,0.667,0.572,0.4,"8_9","ClinicalBERT"
99,1,1,0,0.5,1,0.667,0.5,"8_9","ClinicalBERT"
100,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
101,2,1,2,0.667,0.5,0.572,0.4,"8_9","ClinicalBERT"
103,2,0,0,1,1,1,1,"8_9","ClinicalBERT"
104,2,0,0,1,1,1,1,"8_9","ClinicalBERT"
105,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
106,1,1,1,0.5,0.5,0.5,0.333,"8_9","ClinicalBERT"
107,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
108,1,3,2,0.25,0.333,0.286,0.167,"8_9","ClinicalBERT"
109,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
110,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
111,1,1,0,0.5,1,0.667,0.5,"8_9","ClinicalBERT"
112,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
113,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
114,3,0,0,1,1,1,1,"8_9","ClinicalBERT"
115,2,2,0,0.5,1,0.667,0.5,"8_9","ClinicalBERT"
116,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
117,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
118,3,1,2,0.75,0.6,0.667,0.5,"8_9","ClinicalBERT"
119,1,0,1,1,0.5,0.667,0.5,"8_9","ClinicalBERT"
120,1,0,1,1,0.5,0.667,0.5,"8_9","ClinicalBERT"
121,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
122,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
123,2,2,1,0.5,0.667,0.572,0.4,"8_9","ClinicalBERT"
124,1,0,0,1,1,1,1,"8_9","ClinicalBERT"
125,1,1,0,0.5,1,0.667,0.5,"8_9","ClinicalBERT"
126,2,0,1,1,0.667,0.8,0.667,"8_9","ClinicalBERT"
127,9,1,1,0.9,0.9,0.9,0.818,"8_9","ClinicalBERT"
128,2,0,0,1,1,1,1,"8_9","ClinicalBERT"
129,2,0,0,1,1,1,1,"8_9","ClinicalBERT"
130,2,0,0,1,1,1,1,"8_9","ClinicalBERT"
1,12,0,0,1,1,1,1,"8_9","SapBERT"
2,1,0,0,1,1,1,1,"8_9","SapBERT"
3,1,0,0,1,1,1,1,"8_9","SapBERT"
4,4,0,0,1,1,1,1,"8_9","SapBERT"
5,1,0,0,1,1,1,1,"8_9","SapBERT"
6,1,0,0,1,1,1,1,"8_9","SapBERT"
7,1,0,0,1,1,1,1,"8_9","SapBERT"
8,1,0,0,1,1,1,1,"8_9","SapBERT"
9,2,0,0,1,1,1,1,"8_9","SapBERT"
10,3,1,1,0.75,0.75,0.75,0.6,"8_9","SapBERT"
11,2,0,0,1,1,1,1,"8_9","SapBERT"
12,1,0,0,1,1,1,1,"8_9","SapBERT"
13,1,0,0,1,1,1,1,"8_9","SapBERT"
14,1,0,0,1,1,1,1,"8_9","SapBERT"
15,1,0,0,1,1,1,1,"8_9","SapBERT"
16,3,0,0,1,1,1,1,"8_9","SapBERT"
17,1,0,0,1,1,1,1,"8_9","SapBERT"
18,1,0,0,1,1,1,1,"8_9","SapBERT"
19,1,0,0,1,1,1,1,"8_9","SapBERT"
20,1,0,0,1,1,1,1,"8_9","SapBERT"
21,1,0,0,1,1,1,1,"8_9","SapBERT"
22,2,0,0,1,1,1,1,"8_9","SapBERT"
23,1,0,0,1,1,1,1,"8_9","SapBERT"
24,3,0,0,1,1,1,1,"8_9","SapBERT"
25,1,0,0,1,1,1,1,"8_9","SapBERT"
26,2,0,0,1,1,1,1,"8_9","SapBERT"
27,1,0,0,1,1,1,1,"8_9","SapBERT"
28,5,1,1,0.833,0.833,0.833,0.714,"8_9","SapBERT"
29,1,0,0,1,1,1,1,"8_9","SapBERT"
30,0,1,6,0,0,0,0,"8_9","SapBERT"
31,6,1,1,0.857,0.857,0.857,0.75,"8_9","SapBERT"
32,1,0,0,1,1,1,1,"8_9","SapBERT"
33,8,0,0,1,1,1,1,"8_9","SapBERT"
34,3,1,1,0.75,0.75,0.75,0.6,"8_9","SapBERT"
35,5,2,5,0.714,0.5,0.588,0.417,"8_9","SapBERT"
36,1,0,0,1,1,1,1,"8_9","SapBERT"
37,1,0,0,1,1,1,1,"8_9","SapBERT"
