"icd9","best_target","max_similarity","track","track_label"
"185","C61",0.95406699180603,"10_9","ICD-9-CM to ICD-10-CA"
"186","C15",0.956331133842468,"10_9","ICD-9-CM to ICD-10-CA"
"187","C63",0.966632127761841,"10_9","ICD-9-CM to ICD-10-CA"
"188","C67",0.959618330001831,"10_9","ICD-9-CM to ICD-10-CA"
"189","C68",0.973281800746918,"10_9","ICD-9-CM to ICD-10-CA"
"190","C03",0.95858097076416,"10_9","ICD-9-CM to ICD-10-CA"
"191","C71",0.957566857337952,"10_9","ICD-9-CM to ICD-10-CA"
"192","C26",0.963189780712128,"10_9","ICD-9-CM to ICD-10-CA"
"193","D34",0.95871102809906,"10_9","ICD-9-CM to ICD-10-CA"
"194","C75",0.976535439491272,"10_9","ICD-9-CM to ICD-10-CA"
"195","C79",0.967718720436096,"10_9","ICD-9-CM to ICD-10-CA"
"196","C24",0.946273565292358,"10_9","ICD-9-CM to ICD-10-CA"
"197","D01",0.95139217376709,"10_9","ICD-9-CM to ICD-10-CA"
"198","C26",0.959409236907959,"10_9","ICD-9-CM to ICD-10-CA"
"199","C80",0.968501687049866,"10_9","ICD-9-CM to ICD-10-CA"
"200","C77",0.940367043018341,"10_9","ICD-9-CM to ICD-10-CA"
"201","B57",0.945030391216278,"10_9","ICD-9-CM to ICD-10-CA"
"202","C96",0.950545072555542,"10_9","ICD-9-CM to ICD-10-CA"
"203","C90",0.95597243309021,"10_9","ICD-9-CM to ICD-10-CA"
"204","C91",0.944490969181061,"10_9","ICD-9-CM to ICD-10-CA"
"205","C91",0.948610126972198,"10_9","ICD-9-CM to ICD-10-CA"
"206","C93",0.956309974193573,"10_9","ICD-9-CM to ICD-10-CA"
"207","L11",0.938525080680847,"10_9","ICD-9-CM to ICD-10-CA"
"208","C95",0.954645574092865,"10_9","ICD-9-CM to ICD-10-CA"
"209","A74",0.914650022983551,"10_9","ICD-9-CM to ICD-10-CA"
"225","D33",0.959958970546722,"10_9","ICD-9-CM to ICD-10-CA"
"230","D01",0.972137689590454,"10_9","ICD-9-CM to ICD-10-CA"
"231","D02",0.970470309257507,"10_9","ICD-9-CM to ICD-10-CA"
"233","D02",0.966154813766479,"10_9","ICD-9-CM to ICD-10-CA"
"234","D09",0.975278854370117,"10_9","ICD-9-CM to ICD-10-CA"
"237","D43",0.971126914024353,"10_9","ICD-9-CM to ICD-10-CA"
"238","C39",0.964551091194153,"10_9","ICD-9-CM to ICD-10-CA"
"239","D15",0.941640853881836,"10_9","ICD-9-CM to ICD-10-CA"
"240","K46",0.930517792701721,"10_9","ICD-9-CM to ICD-10-CA"
"241","B70",0.94567334651947,"10_9","ICD-9-CM to ICD-10-CA"
"242","J31",0.942043423652649,"10_9","ICD-9-CM to ICD-10-CA"
"243","D51",0.946608424186707,"10_9","ICD-9-CM to ICD-10-CA"
"244","A24",0.932080149650574,"10_9","ICD-9-CM to ICD-10-CA"
"245","E20",0.946132779121399,"10_9","ICD-9-CM to ICD-10-CA"
"246","N64",0.934887170791626,"10_9","ICD-9-CM to ICD-10-CA"
"249","O24",0.950699269771576,"10_9","ICD-9-CM to ICD-10-CA"
"250","E11",0.927894711494446,"10_9","ICD-9-CM to ICD-10-CA"
"251","N29",0.939086437225342,"10_9","ICD-9-CM to ICD-10-CA"
"252","N75",0.945043087005615,"10_9","ICD-9-CM to ICD-10-CA"
"253","Y53",0.937681496143341,"10_9","ICD-9-CM to ICD-10-CA"
"254","N75",0.953007221221924,"10_9","ICD-9-CM to ICD-10-CA"
"255","K55",0.943406105041504,"10_9","ICD-9-CM to ICD-10-CA"
"256","E28",0.928544282913208,"10_9","ICD-9-CM to ICD-10-CA"
"257","M47",0.931725263595581,"10_9","ICD-9-CM to ICD-10-CA"
"258","E75",0.935215473175049,"10_9","ICD-9-CM to ICD-10-CA"
"259","B71",0.898110330104828,"10_9","ICD-9-CM to ICD-10-CA"
"260","E40",0.925402641296387,"10_9","ICD-9-CM to ICD-10-CA"
"261","E41",0.929104685783386,"10_9","ICD-9-CM to ICD-10-CA"
"262","O25",0.901556551456451,"10_9","ICD-9-CM to ICD-10-CA"
"263","E46",0.897336542606354,"10_9","ICD-9-CM to ICD-10-CA"
"268","E54",0.913310706615448,"10_9","ICD-9-CM to ICD-10-CA"
"270","E70",0.910854160785675,"10_9","ICD-9-CM to ICD-10-CA"
"271","E72",0.865755796432495,"10_9","ICD-9-CM to ICD-10-CA"
"272","E75",0.947747766971588,"10_9","ICD-9-CM to ICD-10-CA"
"273","P71",0.870307922363281,"10_9","ICD-9-CM to ICD-10-CA"
"274","K25",0.896936178207397,"10_9","ICD-9-CM to ICD-10-CA"
"275","P71",0.926908016204834,"10_9","ICD-9-CM to ICD-10-CA"
"277","K93",0.915271759033203,"10_9","ICD-9-CM to ICD-10-CA"
"278","R34",0.924811482429504,"10_9","ICD-9-CM to ICD-10-CA"
"279","I99",0.905986785888672,"10_9","ICD-9-CM to ICD-10-CA"
