"track","tau","n_emitted","codes_covered","code_coverage","precision","recall","f1"
"10_9",0.27,800,336,0.973913043478261,0.69375,0.682656826568266,0.688158710477371
"10_9",0.28,790,336,0.973913043478261,0.7,0.68019680196802,0.689956331877729
"10_9",0.29,783,336,0.973913043478261,0.703703703703704,0.677736777367774,0.690476190476191
"10_9",0.3,768,336,0.973913043478261,0.71484375,0.675276752767528,0.69449715370019
"10_9",0.31,760,336,0.973913043478261,0.719736842105263,0.672816728167282,0.695486331849968
"10_9",0.32,747,336,0.973913043478261,0.725568942436412,0.666666666666667,0.694871794871795
"10_9",0.33,736,336,0.973913043478261,0.728260869565217,0.659286592865929,0.692059393156875
"10_9",0.34,727,336,0.973913043478261,0.731774415405777,0.654366543665437,0.690909090909091
"10_9",0.35,718,336,0.973913043478261,0.733983286908078,0.648216482164822,0.688438928804703
"10_9",0.36,708,336,0.973913043478261,0.740112994350282,0.644526445264453,0.689020381328074
"10_9",0.37,698,336,0.973913043478261,0.742120343839542,0.637146371463715,0.685638649900728
"10_9",0.38,689,336,0.973913043478261,0.750362844702467,0.635916359163592,0.688415446071904
"10_9",0.39,679,336,0.973913043478261,0.75699558173785,0.632226322263223,0.689008042895442
"10_9",0.4,673,335,0.971014492753623,0.762258543833581,0.6309963099631,0.690444145356662
"10_9",0.41,663,335,0.971014492753623,0.770739064856712,0.628536285362854,0.692411924119241
"10_9",0.42,653,335,0.971014492753623,0.774885145482389,0.622386223862239,0.69031377899045
"10_9",0.43,649,335,0.971014492753623,0.778120184899846,0.621156211562116,0.690834473324213
"10_9",0.44,636,334,0.968115942028986,0.787735849056604,0.616236162361624,0.691511387163561
"10_9",0.45,632,334,0.968115942028986,0.791139240506329,0.615006150061501,0.69204152249135
"10_9",0.46,626,334,0.968115942028986,0.797124600638978,0.613776137761378,0.693537178596247
"10_9",0.47,623,334,0.968115942028986,0.799357945425361,0.612546125461255,0.693593314763231
"10_9",0.48,615,334,0.968115942028986,0.801626016260163,0.60639606396064,0.69047619047619
